Concept,Cognates
above,1
all,1
bad,1
"below, under",1
big,1
black,1
cold (of temperature),1
dry,1
eight,1
far,1
five,1
four,1
full,1
good,1
green,1
he or she [third person singular],1
heavy,1
hot,1
hundred,1
knife,1
left,1
light (of weight),1
long,1
many,1
morning,1
narrow,1
near,1
new,1
nine,1
noon,1
old (of person),1
one,1
red,1
right,1
round,1
seven,1
short,1
six,1
small,1
ten,1
that,1
the ant,1
the bamboo,1
the belly,1
the bird,1
the blood,1
the bone,1
the branch,1
the breast (female),1
the cloud,1
the daughter,1
the dog,1
the dream,1
the dust,1
the ear,1
the earth (soil),1
the egg,1
the eye,1
the father,1
the fire,1
the fish,1
the flower,1
the foot,1
the frog,1
the fruit,1
the goat,1
the hair (of the head),1
the hand,1
the head,1
the heart,1
the horn (keratinized skin),1
the husband,1
the knee,1
the leaf,1
the man (male human),1
the meat,1
the moon,1
the mosquito,1
the mother,1
the mountain,1
the mouse or rat,1
the mouth,1
the mud,1
the nail (fingernail or claw),1
the name,1
the neck,1
the needle (for sewing),1
the nose,1
the pig,1
the rain,1
the rainbow,1
the rice plant,1
the river,1
the road,1
the root,1
the salt,1
the sand,1
the sea,1
the seed,1
the skin,1
the sky,1
the smoke,1
the snake,1
the son,1
the spider,1
the star,1
the stone (a piece of),1
the sun,1
the tail,1
the thunder,1
the tiger,1
the tongue,1
the tooth (front),1
the tree,1
the water,1
the wife,1
the wind,1
the woman,1
the wood (material),1
the year,1
thin (object),1
this,1
thou [second person singular],1
three,1
to bite,1
to buy,1
to come,1
to cry (weep),1
to die,1
to drink,1
to eat,1
to fly (move through air),1
to forget,1
to give,1
to hear,1
to kill,1
to know (something),1
to laugh,1
to lie down,1
to play,1
to pull,1
to push,1
to reside (live),1
to see,1
to sing,1
to sleep,1
to stand,1
to steal,1
to throw,1
to walk,1
to wipe,1
today,1
tomorrow,1
twenty,1
two,1
we [first person plural inclusive],1
wet,1
what,1
where,1
white,1
who,1
yellow,1
yesterday,1
you [second person plural],1
